,date,year,month,day,dow,holiday,decade,prevcalls,sum,calls
0,2018-06-29,2018,6,29,4,1,3,0,1150735,1
1,2018-07-06,2018,7,6,4,1,1,1,1105857,4
2,2018-07-11,2018,7,11,2,1,2,4,1105857,3
3,2018-07-12,2018,7,12,3,1,2,3,1105857,2
4,2018-09-17,2018,9,17,0,0,2,2,919501,21
5,2018-09-18,2018,9,18,1,1,2,21,919501,2
6,2018-09-19,2018,9,19,2,0,2,2,919501,33
7,2018-09-20,2018,9,20,3,1,2,33,919501,2
8,2018-09-25,2018,9,25,1,1,2,2,919501,9
9,2018-09-27,2018,9,27,3,1,3,9,919501,9
10,2018-09-28,2018,9,28,4,1,3,9,919501,4
11,2018-10-03,2018,10,3,2,1,1,4,1164001,3
12,2018-10-04,2018,10,4,3,1,1,3,1164001,4
13,2018-10-05,2018,10,5,4,1,1,4,1164001,3
14,2018-10-08,2018,10,8,0,1,2,3,1164001,1
15,2018-10-11,2018,10,11,3,0,2,1,1164001,12
16,2018-10-12,2018,10,12,4,1,2,12,1164001,2
17,2018-10-16,2018,10,16,1,1,2,2,1164001,3
18,2018-10-29,2018,10,29,0,1,3,3,1164001,2
19,2018-11-16,2018,11,16,4,1,2,2,986931,1
20,2018-12-04,2018,12,4,1,1,1,1,1360442,1
21,2018-12-07,2018,12,7,4,1,2,1,1360442,1
22,2018-12-26,2018,12,26,2,1,3,1,1360442,5
23,2019-01-11,2019,1,11,4,1,1,5,882489,1
24,2019-01-15,2019,1,15,1,1,2,1,882489,1
25,2019-01-28,2019,1,28,0,1,3,1,882489,1
26,2019-02-01,2019,2,1,4,1,1,1,1075506,1
27,2019-02-05,2019,2,5,1,1,1,1,1075506,1
28,2019-02-21,2019,2,21,3,0,2,1,1075506,29
29,2019-02-22,2019,2,22,4,1,2,29,1075506,6
30,2019-04-05,2019,4,5,4,0,1,6,1417947,18
31,2019-04-08,2019,4,8,0,1,2,18,1417947,7
32,2019-04-12,2019,4,12,4,1,2,7,1417947,9
33,2019-04-15,2019,4,15,0,1,2,9,1417947,8
34,2019-04-17,2019,4,17,2,1,2,8,1417947,8
35,2019-04-18,2019,4,18,3,0,2,8,1417947,11
36,2019-04-19,2019,4,19,4,0,2,11,1417947,22
37,2019-04-22,2019,4,22,0,0,2,22,1417947,11
38,2019-04-23,2019,4,23,1,0,2,11,1417947,25
39,2019-04-24,2019,4,24,2,0,2,25,1417947,11
40,2019-04-25,2019,4,25,3,0,2,11,1417947,12
41,2019-04-26,2019,4,26,4,0,3,12,1417947,28
42,2019-04-27,2019,4,27,5,1,3,28,1417947,2
43,2019-04-29,2019,4,29,0,0,3,2,1417947,51
44,2019-04-30,2019,4,30,1,0,3,51,1417947,12
45,2019-05-06,2019,5,6,0,1,1,12,950184,7
46,2019-05-07,2019,5,7,1,0,2,7,950184,11
47,2019-05-08,2019,5,8,2,1,2,11,950184,6
48,2019-05-13,2019,5,13,0,0,2,6,950184,30
49,2019-05-14,2019,5,14,1,0,2,30,950184,19
50,2019-05-15,2019,5,15,2,0,2,19,950184,25
51,2019-05-16,2019,5,16,3,0,2,25,950184,28
52,2019-05-17,2019,5,17,4,0,2,28,950184,25
53,2019-05-20,2019,5,20,0,0,2,25,950184,53
54,2019-05-21,2019,5,21,1,0,2,53,950184,46
55,2019-05-22,2019,5,22,2,1,2,46,950184,8
56,2019-05-23,2019,5,23,3,0,2,8,950184,20
57,2019-05-24,2019,5,24,4,1,2,20,950184,3
58,2019-05-27,2019,5,27,0,0,3,3,950184,18
59,2019-05-28,2019,5,28,1,1,3,18,950184,6
60,2019-05-29,2019,5,29,2,1,3,6,950184,3
61,2019-05-30,2019,5,30,3,0,3,3,950184,17
62,2019-05-31,2019,5,31,4,1,3,17,950184,6
63,2019-06-03,2019,6,3,0,1,1,6,1065374,6
64,2019-06-04,2019,6,4,1,0,1,6,1065374,15
65,2019-06-05,2019,6,5,2,1,1,15,1065374,9
66,2019-06-06,2019,6,6,3,1,1,9,1065374,7
67,2019-06-07,2019,6,7,4,0,2,7,1065374,15
68,2019-06-10,2019,6,10,0,1,2,15,1065374,5
69,2019-06-11,2019,6,11,1,1,2,5,1065374,9
70,2019-06-13,2019,6,13,3,0,2,9,1065374,15
71,2019-06-14,2019,6,14,4,1,2,15,1065374,6
72,2019-06-17,2019,6,17,0,1,2,6,1065374,6
73,2019-06-18,2019,6,18,1,1,2,6,1065374,6
74,2019-06-19,2019,6,19,2,1,2,6,1065374,1
75,2019-06-20,2019,6,20,3,1,2,1,1065374,1
76,2019-06-21,2019,6,21,4,0,2,1,1065374,10
77,2019-06-24,2019,6,24,0,1,2,10,1065374,6
78,2019-06-25,2019,6,25,1,1,2,6,1065374,8
79,2019-06-26,2019,6,26,2,1,3,8,1065374,9
80,2019-06-27,2019,6,27,3,1,3,9,1065374,4
81,2019-07-02,2019,7,2,1,1,1,4,1032027,1
82,2019-07-04,2019,7,4,3,1,1,1,1032027,3
83,2019-07-05,2019,7,5,4,1,1,3,1032027,6
84,2019-07-09,2019,7,9,1,1,2,6,1032027,3
85,2019-07-11,2019,7,11,3,1,2,3,1032027,5
86,2019-07-12,2019,7,12,4,1,2,5,1032027,7
87,2019-07-15,2019,7,15,0,1,2,7,1032027,7
88,2019-07-16,2019,7,16,1,0,2,7,1032027,14
89,2019-07-18,2019,7,18,3,1,2,14,1032027,5
90,2019-07-19,2019,7,19,4,1,2,5,1032027,2
91,2019-08-01,2019,8,1,3,1,1,2,1157662,1
92,2019-08-02,2019,8,2,4,1,1,1,1157662,1
93,2019-08-07,2019,8,7,2,1,2,1,1157662,6
94,2019-08-08,2019,8,8,3,1,2,6,1157662,2
95,2019-08-09,2019,8,9,4,1,2,2,1157662,3
96,2019-08-13,2019,8,13,1,1,2,3,1157662,1
97,2019-08-14,2019,8,14,2,1,2,1,1157662,2
98,2019-08-16,2019,8,16,4,1,2,2,1157662,1
99,2019-08-23,2019,8,23,4,1,2,1,1157662,4
100,2019-08-26,2019,8,26,0,1,3,4,1157662,3
101,2019-08-28,2019,8,28,2,1,3,3,1157662,4
102,2019-08-30,2019,8,30,4,1,3,4,1157662,1
103,2019-09-02,2019,9,2,0,1,1,1,937744,2
104,2019-09-03,2019,9,3,1,1,1,2,937744,1
105,2019-09-05,2019,9,5,3,1,1,1,937744,1
106,2019-09-06,2019,9,6,4,1,1,1,937744,1
107,2019-09-09,2019,9,9,0,1,2,1,937744,1
108,2019-09-10,2019,9,10,1,1,2,1,937744,6
109,2019-09-12,2019,9,12,3,0,2,6,937744,19
110,2019-09-13,2019,9,13,4,1,2,19,937744,5
111,2019-09-17,2019,9,17,1,1,2,5,937744,9
112,2019-09-18,2019,9,18,2,1,2,9,937744,2
113,2019-09-25,2019,9,25,2,1,2,2,937744,5
114,2019-10-02,2019,10,2,2,1,1,5,1133053,3
115,2019-10-03,2019,10,3,3,1,1,3,1133053,1
116,2019-10-04,2019,10,4,4,1,1,1,1133053,6
117,2019-10-07,2019,10,7,0,1,2,6,1133053,6
118,2019-10-08,2019,10,8,1,1,2,6,1133053,8
119,2019-10-09,2019,10,9,2,1,2,8,1133053,2
120,2019-10-10,2019,10,10,3,1,2,2,1133053,3
121,2019-10-11,2019,10,11,4,1,2,3,1133053,2
122,2019-10-14,2019,10,14,0,1,2,2,1133053,4
123,2019-10-15,2019,10,15,1,1,2,4,1133053,1
124,2019-10-21,2019,10,21,0,1,2,1,1133053,2
125,2019-10-22,2019,10,22,1,1,2,2,1133053,1
126,2019-10-25,2019,10,25,4,1,2,1,1133053,4
127,2019-10-28,2019,10,28,0,1,3,4,1133053,6
128,2019-10-29,2019,10,29,1,1,3,6,1133053,2
129,2019-10-30,2019,10,30,2,1,3,2,1133053,3
130,2019-10-31,2019,10,31,3,1,3,3,1133053,5
131,2019-11-01,2019,11,1,4,1,1,5,1069926,2
132,2019-11-05,2019,11,5,1,1,1,2,1069926,1
133,2019-11-06,2019,11,6,2,1,1,1,1069926,1
134,2019-11-07,2019,11,7,3,1,2,1,1069926,3
135,2019-11-11,2019,11,11,0,1,2,3,1069926,2
136,2019-11-13,2019,11,13,2,1,2,2,1069926,4
137,2019-11-15,2019,11,15,4,1,2,4,1069926,1
138,2019-11-18,2019,11,18,0,1,2,1,1069926,2
139,2019-11-19,2019,11,19,1,1,2,2,1069926,9
140,2019-11-20,2019,11,20,2,0,2,9,1069926,18
141,2019-11-21,2019,11,21,3,1,2,18,1069926,4
142,2019-11-22,2019,11,22,4,1,2,4,1069926,2
143,2019-11-26,2019,11,26,1,1,3,2,1069926,4
144,2019-11-27,2019,11,27,2,0,3,4,1069926,10
145,2019-11-28,2019,11,28,3,0,3,10,1069926,14
146,2019-11-29,2019,11,29,4,1,3,14,1069926,1
147,2019-12-02,2019,12,2,0,1,1,1,1084682,3
